term	pos	category	emotion
warmheartedness	NOUN	Affection	Positive
affective	ADJ	Affection	Positive
emotive	ADJ	Affection	Positive
affectional	ADJ	Affection	Positive
respect	NOUN	Affection	Positive
regard	NOUN	Affection	Positive
protective	ADJ	Affection	Positive
caring	ADJ	Affection	Positive
protectiveness	NOUN	Affection	Positive
protectively	ADV	Affection	Positive
attachment	NOUN	Affection	Positive
liking	NOUN	Liking	Positive
like	VERB	Liking	Positive
likeable	ADJ	Liking	Positive
likable	ADJ	Liking	Positive
goodwill	NOUN	Liking	Positive
compatibly	ADV	Liking	Positive
sympathetic	ADJ	Liking	Positive
compatible	ADJ	Liking	Positive
rapport	NOUN	Liking	Positive
compatibility	NOUN	Liking	Positive
tenderness	NOUN	Liking	Positive
softheartedness	NOUN	Liking	Positive
softhearted	ADJ	Liking	Positive
soft-boiled	ADJ	Liking	Positive
identify	VERB	Liking	Positive
identification	NOUN	Liking	Positive
favour	NOUN	Liking	Positive
favor	NOUN	Liking	Positive
favour	VERB	Liking	Positive
favor	VERB	Liking	Positive
favorable	ADJ	Liking	Positive
favourable	ADJ	Liking	Positive
favorably	ADV	Liking	Positive
favourably	ADV	Liking	Positive
admiration	NOUN	Liking	Positive
esteem	NOUN	Liking	Positive
admirable	ADJ	Liking	Positive
admirably	ADV	Liking	Positive
laudably	ADV	Liking	Positive
praiseworthily	ADV	Liking	Positive
commendable	ADV	Liking	Positive
admire	VERB	Liking	Positive
weakness	NOUN	Liking	Positive
fraternal	ADJ	Liking	Positive
brotherly	ADJ	Liking	Positive
brotherlike	ADJ	Liking	Positive
brotherhood	NOUN	Liking	Positive
kindhearted	ADJ	Liking	Positive
kindheartedness	NOUN	Liking	Positive
approval	NOUN	Liking	Positive
approbatory	ADJ	Liking	Positive
approving	ADJ	Liking	Positive
approbative	ADJ	Liking	Positive
approve	VERB	Liking	Positive
approved	ADJ	Liking	Positive
amicably	ADV	Liking	Positive
amicable	ADJ	Liking	Positive
amicability	NOUN	Liking	Positive
amicableness	NOUN	Liking	Positive
interest	VERB	Liking	Positive
occupy	VERB	Liking	Positive
concern	VERB	Liking	Positive
worry	VERB	Liking	Positive
concern	NOUN	Liking	Positive
friendly	ADJ	Liking	Positive
friendliness	NOUN	Liking	Positive
lovesome	ADJ	Liking	Positive
caring	ADJ	Liking	Positive
tender	ADJ	Liking	Positive
warm	ADJ	Liking	Positive
fond	ADJ	Liking	Positive
affectionate	ADJ	Liking	Positive
fancy	NOUN	Liking	Positive
partiality	NOUN	Liking	Positive
fondness	NOUN	Liking	Positive
preference	NOUN	Liking	Positive
predilection	NOUN	Liking	Positive
taste	NOUN	Liking	Positive
penchant	NOUN	Liking	Positive
sympathetically	ADV	Liking	Positive
empathetically	ADV	Liking	Positive
kindly	ADJ	Liking	Positive
charitable	ADJ	Liking	Positive
sympathy	NOUN	Liking	Positive
fascination	NOUN	Liking	Positive
captivation	NOUN	Liking	Positive
enchantment	NOUN	Liking	Positive
enthrallment	NOUN	Liking	Positive
captivated	ADJ	Liking	Positive
charmed	ADJ	Liking	Positive
trance	VERB	Liking	Positive
entrance	VERB	Liking	Positive
charm	VERB	Liking	Positive
enchant	VERB	Liking	Positive
capture	VERB	Liking	Positive
beguile	VERB	Liking	Positive
captivate	VERB	Liking	Positive
enamour	VERB	Liking	Positive
bewitch	VERB	Liking	Positive
fascinate	VERB	Liking	Positive
becharm	VERB	Liking	Positive
catch	VERB	Liking	Positive
enamor	VERB	Liking	Positive
fascinating	ADJ	Liking	Positive
enthralling	ADJ	Liking	Positive
captivating	ADJ	Liking	Positive
entrancing	ADJ	Liking	Positive
bewitching	ADJ	Liking	Positive
enchanting	ADJ	Liking	Positive
enthralled	ADJ	Liking	Positive
delighted	ADJ	Liking	Positive
entranced	ADJ	Liking	Positive
beguiled	ADJ	Liking	Positive
empathetic	ADJ	Liking	Positive
empathic	ADJ	Liking	Positive
empathy	NOUN	Liking	Positive
relish	NOUN	Enthusiasm	Positive
zest	NOUN	Enthusiasm	Positive
zestfulness	NOUN	Enthusiasm	Positive
gusto	NOUN	Enthusiasm	Positive
enthusiastically	ADV	Enthusiasm	Positive
exciting	ADJ	Enthusiasm	Positive
enthusiasm	NOUN	Enthusiasm	Positive
enthusiastic	ADJ	Enthusiasm	Positive
riotously	ADV	Enthusiasm	Positive
exuberantly	ADV	Enthusiasm	Positive
expansively	ADV	Enthusiasm	Positive
ebulliently	ADV	Enthusiasm	Positive
exuberance	NOUN	Enthusiasm	Positive
eagerly	ADV	Enthusiasm	Positive
thirstily	ADV	Enthusiasm	Positive
keenness	NOUN	Enthusiasm	Positive
eagerness	NOUN	Enthusiasm	Positive
avidity	NOUN	Enthusiasm	Positive
avidness	NOUN	Enthusiasm	Positive
eager	ADJ	Enthusiasm	Positive
zealous	ADJ	Enthusiasm	Positive
great	ADJ	Enthusiasm	Positive
avid	ADJ	Enthusiasm	Positive
zeal	NOUN	Enthusiasm	Positive
ardor	NOUN	Enthusiasm	Positive
elan	NOUN	Enthusiasm	Positive
ardour	NOUN	Enthusiasm	Positive
appreciatively	ADV	Gratitude	Positive
gratefully	ADV	Gratitude	Positive
gratitude	NOUN	Gratitude	Positive
thankful	ADJ	Gratitude	Positive
grateful	ADJ	Gratitude	Positive
appreciativeness	NOUN	Gratitude	Positive
thankfulness	NOUN	Gratitude	Positive
gratefulness	NOUN	Gratitude	Positive
ego	NOUN	Pride	Positive
egotism	NOUN	Pride	Positive
self-importance	NOUN	Pride	Positive
vanity	NOUN	Pride	Positive
self-love	NOUN	Pride	Positive
conceit	NOUN	Pride	Positive
pridefulness	NOUN	Pride	Positive
pride	NOUN	Pride	Positive
pride	VERB	Pride	Positive
congratulate	VERB	Pride	Positive
plume	VERB	Pride	Positive
proudly	ADV	Pride	Positive
triumphal	ADJ	Pride	Positive
prideful	ADJ	Pride	Positive
exulting	ADJ	Pride	Positive
exultant	ADJ	Pride	Positive
rejoicing	ADJ	Pride	Positive
triumphant	ADJ	Pride	Positive
jubilant	ADJ	Pride	Positive
proud	ADJ	Pride	Positive
self-pride	NOUN	Pride	Positive
self-esteem	NOUN	Pride	Positive
levity	NOUN	Levity	Positive
merry	ADJ	Levity	Positive
gala	ADJ	Levity	Positive
festal	ADJ	Levity	Positive
gay	ADJ	Levity	Positive
festive	ADJ	Levity	Positive
sunny	ADJ	Levity	Positive
cheery	ADJ	Levity	Positive
gaiety	NOUN	Levity	Positive
playfulness	NOUN	Levity	Positive
jovial	ADJ	Levity	Positive
jolly	ADJ	Levity	Positive
jocund	ADJ	Levity	Positive
mirthful	ADJ	Levity	Positive
calmness	NOUN	Calmness	Positive
serene	ADJ	Calmness	Positive
calm	ADJ	Calmness	Positive
tranquil	ADJ	Calmness	Positive
quiet	VERB	Calmness	Positive
tranquillize	VERB	Calmness	Positive
lull	VERB	Calmness	Positive
still	VERB	Calmness	Positive
tranquilize	VERB	Calmness	Positive
quieten	VERB	Calmness	Positive
calm	VERB	Calmness	Positive
calming	ADJ	Calmness	Positive
quietening	ADJ	Calmness	Positive
lulling	ADJ	Calmness	Positive
calmly	ADV	Calmness	Positive
assuasive	ADJ	Calmness	Positive
pacifying	ADJ	Calmness	Positive
soothing	ADJ	Calmness	Positive
peaceably	ADV	Calmness	Positive
pacifically	ADV	Calmness	Positive
peace-loving	ADJ	Calmness	Positive
peaceable	ADJ	Calmness	Positive
heartsease	NOUN	Calmness	Positive
peace	NOUN	Calmness	Positive
ataraxis	NOUN	Calmness	Positive
peacefulness	NOUN	Calmness	Positive
serenity	NOUN	Calmness	Positive
repose	NOUN	Calmness	Positive
imperturbability	NOUN	Calmness	Positive
coolness	NOUN	Calmness	Positive
phlegm	NOUN	Calmness	Positive
imperturbableness	NOUN	Calmness	Positive
cool	VERB	Calmness	Positive
chill	VERB	Calmness	Positive
cool	ADJ	Calmness	Positive
cold	ADJ	Calmness	Positive
tranquilly	ADV	Calmness	Positive
unagitated	ADJ	Calmness	Positive
tranquillity	NOUN	Calmness	Positive
quietude	NOUN	Calmness	Positive
tranquility	NOUN	Calmness	Positive
quietness	NOUN	Calmness	Positive
languid	ADJ	Calmness	Positive
languorous	ADJ	Calmness	Positive
dreamy	ADJ	Calmness	Positive
lackadaisical	ADJ	Calmness	Positive
dreaminess	NOUN	Calmness	Positive
languor	NOUN	Calmness	Positive
languorously	ADV	Calmness	Positive
easy	ADV	Calmness	Positive
easily	ADV	Calmness	Positive
easiness	NOUN	Calmness	Positive
relaxation	NOUN	Calmness	Positive
allay	VERB	Calmness	Positive
relieve	VERB	Calmness	Positive
ease	VERB	Calmness	Positive
easy	ADJ	Calmness	Positive
placidity	NOUN	Calmness	Positive
placidness	NOUN	Calmness	Positive
quiet	ADJ	Calmness	Positive
unruffled	ADJ	Calmness	Positive
still	ADJ	Calmness	Positive
placid	ADJ	Calmness	Positive
placidly	ADV	Calmness	Positive
reassured	ADJ	Fearlessness	Positive
reassuring	ADJ	Fearlessness	Positive
reassure	VERB	Fearlessness	Positive
assure	VERB	Fearlessness	Positive
security	NOUN	Fearlessness	Positive
reassuringly	ADV	Fearlessness	Positive
confidence	NOUN	Fearlessness	Positive
positive	ADJ	Fearlessness	Positive
convinced	ADJ	Fearlessness	Positive
confident	ADJ	Fearlessness	Positive
dauntlessly	ADV	Fearlessness	Positive
fearlessly	ADV	Fearlessness	Positive
intrepidly	ADV	Fearlessness	Positive
bravery	NOUN	Fearlessness	Positive
fearlessness	NOUN	Fearlessness	Positive
unafraid	ADJ	Fearlessness	Positive
fearless	ADJ	Fearlessness	Positive
hardy	ADJ	Fearlessness	Positive
doughty	ADJ	Fearlessness	Positive
suspense	NOUN	Expectation	Positive
suspensive	ADJ	Expectation	Positive
cliff-hanging	ADJ	Expectation	Positive
suspenseful	ADJ	Expectation	Positive
expectancy	NOUN	Expectation	Positive
anticipation	NOUN	Expectation	Positive
anticipate	VERB	Expectation	Positive
frisson	NOUN	Fear	Positive
chill	NOUN	Fear	Positive
shudder	NOUN	Fear	Positive
thrill	NOUN	Fear	Positive
quiver	NOUN	Fear	Positive
tingle	NOUN	Fear	Positive
shiver	NOUN	Fear	Positive
hopeful	ADJ	Hope	Positive
hopefully	ADV	Hope	Positive
hopefulness	NOUN	Hope	Positive
hope	VERB	Hope	Positive
encouragingly	ADV	Hope	Positive
encourage	VERB	Hope	Positive
encouragement	NOUN	Hope	Positive
encouraging	ADJ	Hope	Positive
encouraged	ADJ	Hope	Positive
sanguinity	NOUN	Hope	Positive
sanguineness	NOUN	Hope	Positive
sanguine	ADJ	Hope	Positive
hope	NOUN	Hope	Positive
optimistic	ADJ	Hope	Positive
optimism	NOUN	Hope	Positive
optimistically	ADV	Hope	Positive
suspense	NOUN	Fear	Negative
suspensive	ADJ	Fear	Negative
cliff-hanging	ADJ	Fear	Negative
suspenseful	ADJ	Fear	Negative
hangdog	ADJ	Fear	Negative
cowed	ADJ	Fear	Negative
intimidated	ADJ	Fear	Negative
browbeaten	ADJ	Fear	Negative
bullied	ADJ	Fear	Negative
intimidate	VERB	Fear	Negative
intimidation	NOUN	Fear	Negative
consternation	NOUN	Fear	Negative
alarm	NOUN	Fear	Negative
dismay	NOUN	Fear	Negative
alarm	VERB	Fear	Negative
dismay	VERB	Fear	Negative
appall	VERB	Fear	Negative
appal	VERB	Fear	Negative
horrify	VERB	Fear	Negative
alert	VERB	Fear	Negative
alarmed	ADJ	Fear	Negative
apprehensive	ADJ	Fear	Negative
anxious	ADJ	Fear	Negative
anxiously	ADV	Fear	Negative
uneasily	ADV	Fear	Negative
apprehensively	ADV	Fear	Negative
dread	NOUN	Fear	Negative
apprehension	NOUN	Fear	Negative
apprehensiveness	NOUN	Fear	Negative
hysterically	ADV	Fear	Negative
hysteria	NOUN	Fear	Negative
hysterical	ADJ	Fear	Negative
shadow	NOUN	Fear	Negative
afraid	ADJ	Fear	Negative
terrible	ADJ	Fear	Negative
fearful	ADJ	Fear	Negative
frightful	ADJ	Fear	Negative
fear	VERB	Fear	Negative
dreaded	ADJ	Fear	Negative
dire	ADJ	Fear	Negative
frightening	ADJ	Fear	Negative
direful	ADJ	Fear	Negative
fearsome	ADJ	Fear	Negative
dreadful	ADJ	Fear	Negative
horrendous	ADJ	Fear	Negative
horrific	ADJ	Fear	Negative
awful	ADJ	Fear	Negative
dread	ADJ	Fear	Negative
dread	VERB	Fear	Negative
fearfully	ADV	Fear	Negative
fearfulness	NOUN	Fear	Negative
fright	NOUN	Fear	Negative
fear	NOUN	Fear	Negative
creeps	NOUN	Fear	Negative
fawn	VERB	Fear	Negative
crawl	VERB	Fear	Negative
cringe	VERB	Fear	Negative
grovel	VERB	Fear	Negative
creep	VERB	Fear	Negative
cower	VERB	Fear	Negative
heartless	ADJ	Fear	Negative
hardhearted	ADJ	Fear	Negative
coldheartedness	NOUN	Fear	Negative
hardheartedness	NOUN	Fear	Negative
heartlessness	NOUN	Fear	Negative
heartlessly	ADV	Fear	Negative
fright	VERB	Fear	Negative
scare	VERB	Fear	Negative
affright	VERB	Fear	Negative
frighten	VERB	Fear	Negative
dash	VERB	Fear	Negative
pall	VERB	Fear	Negative
daunt	VERB	Fear	Negative
scared	ADJ	Fear	Negative
frightened	ADJ	Fear	Negative
scarily	ADV	Fear	Negative
frighteningly	ADV	Fear	Negative
shuddery	ADJ	Fear	Negative
shivery	ADJ	Fear	Negative
scary	ADJ	Fear	Negative
scarey	ADJ	Fear	Negative
chilling	ADJ	Fear	Negative
scare	NOUN	Fear	Negative
presage	NOUN	Fear	Negative
chill	NOUN	Fear	Negative
pall	NOUN	Fear	Negative
chill	VERB	Fear	Negative
shy	ADJ	Fear	Negative
shyness	NOUN	Fear	Negative
diffident	ADJ	Fear	Negative
unsure	ADJ	Fear	Negative
timid	ADJ	Fear	Negative
unassertiveness	NOUN	Fear	Negative
unassertively	ADV	Fear	Negative
unassertive	ADJ	Fear	Negative
panic	NOUN	Fear	Negative
terror	NOUN	Fear	Negative
panic-stricken	ADJ	Fear	Negative
panicked	ADJ	Fear	Negative
panic-struck	ADJ	Fear	Negative
terrified	ADJ	Fear	Negative
panicky	ADJ	Fear	Negative
panic	VERB	Fear	Negative
hesitance	NOUN	Fear	Negative
hesitancy	NOUN	Fear	Negative
hesitatingly	ADV	Fear	Negative
hesitantly	ADV	Fear	Negative
trepidation	NOUN	Fear	Negative
timorously	ADV	Fear	Negative
trepidly	ADV	Fear	Negative
timorous	ADJ	Fear	Negative
trepid	ADJ	Fear	Negative
diffidently	ADV	Fear	Negative
self-doubt	NOUN	Fear	Negative
diffidence	NOUN	Fear	Negative
self-distrust	NOUN	Fear	Negative
foreboding	NOUN	Fear	Negative
boding	NOUN	Fear	Negative
presentiment	NOUN	Fear	Negative
premonition	NOUN	Fear	Negative
horrified	ADJ	Fear	Negative
horror-struck	ADJ	Fear	Negative
horror-stricken	ADJ	Fear	Negative
horrifyingly	ADV	Fear	Negative
hideously	ADV	Fear	Negative
horridly	ADV	Fear	Negative
monstrously	ADV	Fear	Negative
hideous	ADJ	Fear	Negative
horrid	ADJ	Fear	Negative
outrageous	ADJ	Fear	Negative
awfully	ADV	Fear	Negative
horribly	ADV	Fear	Negative
dreadfully	ADV	Fear	Negative
horror	NOUN	Fear	Negative
atrocious	ADJ	Fear	Negative
horrible	ADJ	Fear	Negative
ugly	ADJ	Fear	Negative
horrifying	ADJ	Fear	Negative
cruel	ADJ	Fear	Negative
unkind	ADJ	Fear	Negative
ruthlessness	NOUN	Fear	Negative
mercilessness	NOUN	Fear	Negative
cruelty	NOUN	Fear	Negative
pitilessness	NOUN	Fear	Negative
cruelly	ADV	Fear	Negative
timidly	ADV	Fear	Negative
shyly	ADV	Fear	Negative
bashfully	ADV	Fear	Negative
timidness	NOUN	Fear	Negative
timidity	NOUN	Fear	Negative
timorousness	NOUN	Fear	Negative
harass	VERB	Sadness	Negative
oppress	VERB	Sadness	Negative
persecute	VERB	Sadness	Negative
oppressively	ADV	Sadness	Negative
tyrannous	ADJ	Sadness	Negative
oppressive	ADJ	Sadness	Negative
tyrannical	ADJ	Sadness	Negative
laden	ADJ	Sadness	Negative
oppressed	ADJ	Sadness	Negative
oppression	NOUN	Sadness	Negative
oppressiveness	NOUN	Sadness	Negative
downtrodden	ADJ	Sadness	Negative
persecuted	ADJ	Sadness	Negative
despondency	NOUN	Sadness	Negative
despondence	NOUN	Sadness	Negative
heartsickness	NOUN	Sadness	Negative
disconsolateness	NOUN	Sadness	Negative
heartsick	ADJ	Sadness	Negative
despondent	ADJ	Sadness	Negative
despairingly	ADV	Sadness	Negative
despondently	ADV	Sadness	Negative
compunction	NOUN	Sadness	Negative
self-reproach	NOUN	Sadness	Negative
remorse	NOUN	Sadness	Negative
lorn	ADJ	Sadness	Negative
forlorn	ADJ	Sadness	Negative
godforsaken	ADJ	Sadness	Negative
desolate	ADJ	Sadness	Negative
desolation	NOUN	Sadness	Negative
forlornness	NOUN	Sadness	Negative
loneliness	NOUN	Sadness	Negative
forlornly	ADV	Sadness	Negative
heavyheartedness	NOUN	Sadness	Negative
heavyhearted	ADJ	Sadness	Negative
joylessness	NOUN	Sadness	Negative
joylessly	ADV	Sadness	Negative
joyless	ADJ	Sadness	Negative
plaintive	ADJ	Sadness	Negative
mournful	ADJ	Sadness	Negative
mournfully	ADV	Sadness	Negative
ruthfulness	NOUN	Sadness	Negative
mournfulness	NOUN	Sadness	Negative
sorrowfulness	NOUN	Sadness	Negative
doleful	ADJ	Sadness	Negative
dolorous	ADJ	Sadness	Negative
weeping	ADJ	Sadness	Negative
lachrymose	ADJ	Sadness	Negative
tearful	ADJ	Sadness	Negative
dolourous	ADJ	Sadness	Negative
weepiness	NOUN	Sadness	Negative
tearfulness	NOUN	Sadness	Negative
down	ADJ	Sadness	Negative
low-spirited	ADJ	Sadness	Negative
dispirited	ADJ	Sadness	Negative
downcast	ADJ	Sadness	Negative
blue	ADJ	Sadness	Negative
depressed	ADJ	Sadness	Negative
low	ADJ	Sadness	Negative
downhearted	ADJ	Sadness	Negative
dispiritedness	NOUN	Sadness	Negative
downheartedness	NOUN	Sadness	Negative
low-spiritedness	NOUN	Sadness	Negative
unhappy	ADJ	Sadness	Negative
sad	ADJ	Sadness	Negative
unhappiness	NOUN	Sadness	Negative
sadness	NOUN	Sadness	Negative
sadden	VERB	Sadness	Negative
sad	VERB	Sadness	Negative
sadly	ADV	Sadness	Negative
lamentably	ADV	Sadness	Negative
woefully	ADV	Sadness	Negative
deplorably	ADV	Sadness	Negative
dysphoria	NOUN	Sadness	Negative
dysphoric	ADJ	Sadness	Negative
distressed	ADJ	Sadness	Negative
ruefully	ADV	Sadness	Negative
contritely	ADV	Sadness	Negative
remorsefully	ADV	Sadness	Negative
attrition	NOUN	Sadness	Negative
contrition	NOUN	Sadness	Negative
contriteness	NOUN	Sadness	Negative
contrite	ADJ	Sadness	Negative
sorry	ADJ	Sadness	Negative
remorseful	ADJ	Sadness	Negative
rueful	ADJ	Sadness	Negative
repent	VERB	Sadness	Negative
regret	VERB	Sadness	Negative
rue	VERB	Sadness	Negative
penance	NOUN	Sadness	Negative
repentance	NOUN	Sadness	Negative
penitence	NOUN	Sadness	Negative
penitentially	ADV	Sadness	Negative
repentantly	ADV	Sadness	Negative
penitently	ADV	Sadness	Negative
repentant	ADJ	Sadness	Negative
penitent	ADJ	Sadness	Negative
weltschmerz	NOUN	Sadness	Negative
world-weariness	NOUN	Sadness	Negative
world-weary	ADJ	Sadness	Negative
bored	ADJ	Sadness	Negative
misery	NOUN	Sadness	Negative
miserably	ADV	Sadness	Negative
suffering	ADJ	Sadness	Negative
miserable	ADJ	Sadness	Negative
wretched	ADJ	Sadness	Negative
